instance,row_type,remaining_iters,count,sat_wins,cplex_wins,ties,sat_win_rate,cplex_win_rate,sat_wall_mean,cplex_wall_mean,sat_wall_median,cplex_wall_median,sat_cpu_mean,cplex_cpu_mean,mismatches,threshold,policy,total_hybrid_wall,sat_steps,cplex_steps
u1060,threshold_simulation,,,,,,,,,,,,,,,15,use SAT if remaining_iters > T else CPLEX,6.09440335308318,3,14
u1060,threshold_simulation,,,,,,,,,,,,,,,16,use SAT if remaining_iters > T else CPLEX,6.465519026067341,2,15
u1060,threshold_simulation,,,,,,,,,,,,,,,17,use SAT if remaining_iters > T else CPLEX,7.014802988036536,1,16
u1060,threshold_simulation,,,,,,,,,,,,,,,18,use SAT if remaining_iters > T else CPLEX,7.469318511051824,0,17
u1060,remaining_iters_summary,18,1,1,0,0,1.0,0.0,0.013690569991013035,0.4572587900038343,0.013690569991013035,0.4572587900038343,0.013386999999994487,0.22948099999999272,0,,,,,
u1060,remaining_iters_summary,17,1,1,0,0,1.0,0.0,0.0070230069977696985,0.5616048180090729,0.0070230069977696985,0.5616048180090729,0.006776999999999589,0.35862800000001016,0,,,,,
u1060,remaining_iters_summary,16,1,1,0,0,1.0,0.0,0.009970913990400732,0.41865285599487834,0.009970913990400732,0.41865285599487834,0.009698000000014417,0.23866599999999494,0,,,,,
u1060,remaining_iters_summary,15,1,1,0,0,1.0,0.0,0.009218430001055822,0.32891092498903163,0.009218430001055822,0.32891092498903163,0.008941000000021404,0.16354200000000674,0,,,,,
u1060,remaining_iters_summary,14,1,1,0,0,1.0,0.0,0.006138288998045027,0.2848976939858403,0.006138288998045027,0.2848976939858403,0.005844999999993661,0.12424099999998361,0,,,,,
u1060,remaining_iters_summary,13,1,1,0,0,1.0,0.0,0.008029843011172488,0.22457542398478836,0.008029843011172488,0.22457542398478836,0.0077569999999980155,0.0670120000000054,0,,,,,
u1060,remaining_iters_summary,12,1,0,1,0,0.0,1.0,0.33662545098923147,0.267494447005447,0.33662545098923147,0.267494447005447,0.3363170000000082,0.11377299999998058,0,,,,,
u1060,remaining_iters_summary,11,1,1,0,0,1.0,0.0,0.1071599819988478,0.20621282700449228,0.1071599819988478,0.20621282700449228,0.10683199999999715,0.05409900000000789,0,,,,,
u1060,remaining_iters_summary,10,1,0,1,0,0.0,1.0,2.2437601189885754,0.23470790102146566,2.2437601189885754,0.23470790102146566,2.2434189999999887,0.07698700000000258,0,,,,,
u1060,remaining_iters_summary,9,1,0,1,0,0.0,1.0,2.21637916599866,0.4539321670017671,2.21637916599866,0.4539321670017671,2.2160379999999975,0.29625899999999206,0,,,,,
u1060,remaining_iters_summary,8,1,0,1,0,0.0,1.0,8.561912988021504,0.23589504399569705,8.561912988021504,0.23589504399569705,8.561220999999989,0.08288300000000959,0,,,,,
u1060,remaining_iters_summary,7,1,0,1,0,0.0,1.0,6.248490922997007,0.5309162639896385,6.248490922997007,0.5309162639896385,6.247932999999989,0.3726920000000007,0,,,,,
u1060,remaining_iters_summary,5,1,0,1,0,0.0,1.0,1.653757994004991,0.42645512099261396,1.653757994004991,0.42645512099261396,1.6534560000000056,0.27239499999998884,0,,,,,
u1060,remaining_iters_summary,4,1,0,1,0,0.0,1.0,8.459561416006181,0.6801594050193671,8.459561416006181,0.6801594050193671,8.458940999999982,0.5251700000000028,0,,,,,
u1060,remaining_iters_summary,3,1,0,1,0,0.0,1.0,7.275460978999035,0.6589477790112142,7.275460978999035,0.6589477790112142,7.274967000000004,0.5055110000000127,0,,,,,
u1060,remaining_iters_summary,2,1,0,1,0,0.0,1.0,6.407803458976559,0.9066045990039129,6.407803458976559,0.9066045990039129,6.407302999999985,0.7532899999999927,0,,,,,
u1060,remaining_iters_summary,0,1,0,1,0,0.0,1.0,5.167165760009084,0.4231615909957327,5.167165760009084,0.4231615909957327,5.166692000000012,0.2684810000000084,0,,,,,
u1060,threshold_simulation,,,,,,,,,,,,,,,0,use SAT if remaining_iters > T else CPLEX,43.98814512096578,16,1
u1060,threshold_simulation,,,,,,,,,,,,,,,1,use SAT if remaining_iters > T else CPLEX,43.98814512096578,16,1
u1060,threshold_simulation,,,,,,,,,,,,,,,2,use SAT if remaining_iters > T else CPLEX,38.486946260993136,15,2
u1060,threshold_simulation,,,,,,,,,,,,,,,3,use SAT if remaining_iters > T else CPLEX,31.870433061005315,14,3
u1060,threshold_simulation,,,,,,,,,,,,,,,4,use SAT if remaining_iters > T else CPLEX,24.0910310500185,13,4
u1060,threshold_simulation,,,,,,,,,,,,,,,5,use SAT if remaining_iters > T else CPLEX,22.863728177006124,12,5
u1060,threshold_simulation,,,,,,,,,,,,,,,6,use SAT if remaining_iters > T else CPLEX,22.863728177006124,12,5
u1060,threshold_simulation,,,,,,,,,,,,,,,7,use SAT if remaining_iters > T else CPLEX,17.146153517998755,11,6
u1060,threshold_simulation,,,,,,,,,,,,,,,8,use SAT if remaining_iters > T else CPLEX,8.820135573972948,10,7
u1060,threshold_simulation,,,,,,,,,,,,,,,9,use SAT if remaining_iters > T else CPLEX,7.057688574976055,9,8
u1060,threshold_simulation,,,,,,,,,,,,,,,10,use SAT if remaining_iters > T else CPLEX,5.048636357008945,8,9
u1060,threshold_simulation,,,,,,,,,,,,,,,11,use SAT if remaining_iters > T else CPLEX,5.14768920201459,7,10
u1060,threshold_simulation,,,,,,,,,,,,,,,12,use SAT if remaining_iters > T else CPLEX,5.078558198030805,6,11
u1060,threshold_simulation,,,,,,,,,,,,,,,13,use SAT if remaining_iters > T else CPLEX,5.295103779004421,5,12
u1060,threshold_simulation,,,,,,,,,,,,,,,14,use SAT if remaining_iters > T else CPLEX,5.573863183992216,4,13
